date,region,product,channel,units,unit_price,revenue,cost
2024-01-25,华东,经典可乐,电商,824,3.5,2884,1586.2
2024-01-19,华东,零糖可乐,电商,1175,4,4700,2820
2024-01-02,华东,柠檬气泡水,电商,469,5.5,2579.5,1289.75
2024-01-27,华东,冰红茶,商超,584,3,1752,1051.2
2024-01-10,华东,运动饮料,电商,971,6,5826,2621.7
2024-01-25,华北,经典可乐,便利店,263,3.5,920.5,506.28
2024-01-13,华北,零糖可乐,餐饮,788,4,3152,1891.2
2024-01-02,华北,柠檬气泡水,便利店,705,5.5,3877.5,1938.75
2024-01-22,华北,冰红茶,餐饮,871,3,2613,1567.8
2024-01-18,华北,运动饮料,商超,402,6,2412,1085.4
2024-01-14,华南,经典可乐,商超,361,3.5,1263.5,694.93
2024-01-14,华南,零糖可乐,餐饮,406,4,1624,974.4
2024-01-15,华南,柠檬气泡水,商超,546,5.5,3003,1501.5
2024-01-24,华南,冰红茶,电商,800,3,2400,1440
2024-01-23,华南,运动饮料,餐饮,338,6,2028,912.6
2024-01-04,西南,经典可乐,便利店,751,3.5,2628.5,1662.53
2024-01-01,西南,零糖可乐,餐饮,419,4,1676,1156.44
2024-01-05,西南,柠檬气泡水,便利店,215,5.5,1182.5,679.94
2024-01-09,西南,冰红茶,餐饮,386,3,1158,799.02
2024-01-16,西南,运动饮料,电商,736,6,4416,2285.28
2024-02-17,华东,经典可乐,餐饮,791,3.5,2768.5,1522.68
2024-02-03,华东,零糖可乐,商超,628,4,2512,1507.2
2024-02-07,华东,柠檬气泡水,餐饮,1100,5.5,6050,3025
2024-02-12,华东,冰红茶,餐饮,485,3,1455,873
2024-02-04,华东,运动饮料,商超,302,6,1812,815.4
2024-02-27,华北,经典可乐,便利店,526,3.5,1841,1012.55
2024-02-10,华北,零糖可乐,便利店,531,4,2124,1274.4
2024-02-01,华北,柠檬气泡水,电商,517,5.5,2843.5,1421.75
2024-02-23,华北,冰红茶,餐饮,478,3,1434,860.4
2024-02-15,华北,运动饮料,商超,609,6,3654,1644.3
2024-02-14,华南,经典可乐,餐饮,577,3.5,2019.5,1110.73
2024-02-01,华南,零糖可乐,便利店,422,4,1688,1012.8
2024-02-08,华南,柠檬气泡水,便利店,524,5.5,2882,1441
2024-02-17,华南,冰红茶,餐饮,722,3,2166,1299.6
2024-02-16,华南,运动饮料,商超,772,6,4632,2084.4
2024-02-03,西南,经典可乐,电商,316,3.5,1106,699.55
2024-02-13,西南,零糖可乐,餐饮,746,4,2984,2058.96
2024-02-24,西南,柠檬气泡水,餐饮,586,5.5,3223,1853.22
2024-02-13,西南,冰红茶,便利店,288,3,864,596.16
2024-02-10,西南,运动饮料,商超,743,6,4458,2307.01
2024-03-02,华东,经典可乐,电商,813,3.5,2845.5,1565.03
2024-03-13,华东,零糖可乐,商超,996,4,3984,2390.4
2024-03-26,华东,柠檬气泡水,餐饮,305,5.5,1677.5,838.75
2024-03-17,华东,冰红茶,餐饮,760,3,2280,1368
2024-03-14,华东,运动饮料,电商,767,6,4602,2070.9
2024-03-03,华北,经典可乐,商超,332,3.5,1162,639.1
2024-03-18,华北,零糖可乐,便利店,1080,4,4320,2592
2024-03-08,华北,柠檬气泡水,商超,621,5.5,3415.5,1707.75
2024-03-07,华北,冰红茶,电商,807,3,2421,1452.6
2024-03-21,华北,运动饮料,商超,528,6,3168,1425.6
2024-03-21,华南,经典可乐,电商,397,3.5,1389.5,764.23
2024-03-01,华南,零糖可乐,餐饮,411,4,1644,986.4
2024-03-13,华南,柠檬气泡水,商超,308,5.5,1694,847
2024-03-08,华南,冰红茶,商超,635,3,1905,1143
2024-03-10,华南,运动饮料,商超,320,6,1920,864
2024-03-01,西南,经典可乐,商超,691,3.5,2418.5,1529.7
2024-03-19,西南,零糖可乐,餐饮,331,4,1324,913.56
2024-03-09,西南,柠檬气泡水,商超,667,5.5,3668.5,2109.39
2024-03-12,西南,冰红茶,便利店,509,3,1527,1053.63
2024-03-19,西南,运动饮料,电商,728,6,4368,2260.44
2024-04-17,华东,经典可乐,便利店,542,3.5,1897,1043.35
2024-04-11,华东,零糖可乐,餐饮,1552,4,6208,3724.8
2024-04-25,华东,柠檬气泡水,商超,341,5.5,1875.5,937.75
2024-04-25,华东,冰红茶,电商,770,3,2310,1386
2024-04-24,华东,运动饮料,餐饮,981,6,5886,2648.7
2024-04-11,华北,经典可乐,商超,436,3.5,1526,839.3
2024-04-19,华北,零糖可乐,商超,716,4,2864,1718.4
2024-04-19,华北,柠檬气泡水,电商,812,5.5,4466,2233
2024-04-23,华北,冰红茶,电商,217,3,651,390.6
2024-04-05,华北,运动饮料,电商,442,6,2652,1193.4
2024-04-06,华南,经典可乐,商超,211,3.5,738.5,406.18
2024-04-05,华南,零糖可乐,电商,418,4,1672,1003.2
2024-04-05,华南,柠檬气泡水,电商,320,5.5,1760,880
2024-04-23,华南,冰红茶,商超,253,3,759,455.4
2024-04-11,华南,运动饮料,电商,471,6,2826,1271.7
2024-04-17,西南,经典可乐,电商,493,3.5,1725.5,1091.38
2024-04-12,西南,零糖可乐,餐饮,887,4,3548,2448.12
2024-04-01,西南,柠檬气泡水,商超,227,5.5,1248.5,717.89
2024-04-05,西南,冰红茶,便利店,451,3,1353,933.57
2024-04-11,西南,运动饮料,电商,705,6,4230,2189.02
2024-05-12,华东,经典可乐,商超,514,3.5,1799,989.45
2024-05-18,华东,零糖可乐,电商,767,4,3068,1840.8
2024-05-24,华东,柠檬气泡水,餐饮,651,5.5,3580.5,1790.25
2024-05-03,华东,冰红茶,商超,694,3,2082,1249.2
2024-05-21,华东,运动饮料,餐饮,720,6,4320,1944
2024-05-20,华北,经典可乐,便利店,548,3.5,1918,1054.9
2024-05-02,华北,零糖可乐,餐饮,385,4,1540,924
2024-05-10,华北,柠檬气泡水,电商,438,5.5,2409,1204.5
2024-05-05,华北,冰红茶,商超,459,3,1377,826.2
2024-05-12,华北,运动饮料,便利店,545,6,3270,1471.5
2024-05-13,华南,经典可乐,商超,478,3.5,1673,920.15
2024-05-20,华南,零糖可乐,商超,941,4,3764,2258.4
2024-05-24,华南,柠檬气泡水,餐饮,230,5.5,1265,632.5
2024-05-18,华南,冰红茶,餐饮,512,3,1536,921.6
2024-05-25,华南,运动饮料,便利店,259,6,1554,699.3
2024-05-07,西南,经典可乐,电商,903,3.5,3160.5,1999.02
2024-05-26,西南,零糖可乐,电商,845,4,3380,2332.2
2024-05-02,西南,柠檬气泡水,餐饮,570,5.5,3135,1802.62
2024-05-02,西南,冰红茶,电商,719,3,2157,1488.33
2024-05-03,西南,运动饮料,商超,580,6,3480,1800.9
2024-06-18,华东,经典可乐,餐饮,503,3.5,1760.5,968.28
2024-06-16,华东,零糖可乐,电商,1674,4,6696,4017.6
2024-06-18,华东,柠檬气泡水,商超,439,5.5,2414.5,1207.25
2024-06-21,华东,冰红茶,电商,663,3,1989,1193.4
2024-06-26,华东,运动饮料,电商,1203,6,7218,3248.1
2024-06-05,华北,经典可乐,商超,760,3.5,2660,1463
2024-06-24,华北,零糖可乐,餐饮,483,4,1932,1159.2
2024-06-01,华北,柠檬气泡水,便利店,351,5.5,1930.5,965.25
2024-06-26,华北,冰红茶,便利店,377,3,1131,678.6
2024-06-09,华北,运动饮料,便利店,407,6,2442,1098.9
2024-06-02,华南,经典可乐,便利店,385,3.5,1347.5,741.13
2024-06-20,华南,零糖可乐,便利店,612,4,2448,1468.8
2024-06-06,华南,柠檬气泡水,餐饮,742,5.5,4081,2040.5
2024-06-07,华南,冰红茶,便利店,265,3,795,477
2024-06-07,华南,运动饮料,餐饮,310,6,1860,837
2024-06-11,西南,经典可乐,餐饮,353,3.5,1235.5,781.45
2024-06-10,西南,零糖可乐,餐饮,995,4,3980,2746.2
2024-06-07,西南,柠檬气泡水,电商,887,5.5,4878.5,2805.14
2024-06-21,西南,冰红茶,电商,230,3,690,476.1
2024-06-23,西南,运动饮料,电商,242,6,1452,751.41
